Id,isSelf,Price,Date
51169,1,1.943,2022-01-01 11:45:53
44566,1,1.725,2022-01-02 11:15:08
44566,0,1.775,2022-01-02 11:15:08
20026,1,1.729,2022-01-02 11:27:01
12494,0,1.559,2022-01-02 12:07:25
12494,1,1.559,2022-01-02 12:07:25
37593,0,1.789,2022-01-02 12:36:25
37593,1,1.789,2022-01-02 12:36:25
50047,0,1.879,2022-01-02 14:20:37
52185,0,1.8,2022-01-02 17:25:08
52185,1,1.8,2022-01-02 17:25:08
34510,1,1.899,2022-01-03 07:13:01
34510,0,2.119,2022-01-03 07:13:01
34510,1,1.899,2022-01-03 07:13:01
34510,0,2.119,2022-01-03 07:13:01
27403,1,1.899,2022-01-03 07:30:01
24761,1,1.879,2022-01-03 08:11:45
24761,0,1.879,2022-01-03 08:11:45
50236,1,1.869,2022-01-03 09:46:23
50236,0,2.249,2022-01-03 09:46:23
34360,1,1.909,2022-01-03 11:37:49
34360,0,2.099,2022-01-03 11:37:49
39821,0,1.889,2022-01-03 11:40:34
